radar,metric,season,nights,years,first,last,p50,p70,p90,max,share_top10,lat,lon
frcae,mtr_night,autumn,603,8,2016-08-15,2023-09-29,1483.9,2950.3,7635.9,82744.6,0.5,48.9,-0.1
frche,mtr_night,spring,321,6,2017-04-12,2025-05-18,1704.6,3461.0,7383.8,125151.4,0.5,46.7,0.1
frche,mtr_night,autumn,443,6,2016-08-15,2024-09-14,1953.1,3707.6,9536.2,95504.4,0.5,46.7,0.1
frcol,mtr_night,spring,352,6,2017-02-15,2024-03-29,152.4,6433.9,33941.8,1046657.3,0.8,43.2,6.4
frcol,mtr_night,autumn,503,7,2016-08-15,2022-10-24,3421.7,22417.2,96204.8,1590394.3,0.6,43.2,6.4
frgre,mtr_night,spring,314,4,2017-03-08,2020-05-31,2295.7,5174.7,11461.9,275686.6,0.6,45.1,1.4
frgre,mtr_night,autumn,402,5,2016-08-15,2020-11-30,2234.2,4666.1,14676.2,168328.1,0.5,45.1,1.4
frlep,mtr_night,spring,433,8,2017-02-15,2025-04-03,1108.5,2818.8,7704.3,145052.0,0.6,45.3,3.7
frlep,mtr_night,autumn,644,9,2016-08-15,2024-10-02,2277.3,4719.6,11289.4,178002.6,0.5,45.3,3.7
frmcl,mtr_night,spring,315,5,2017-03-26,2021-05-08,1728.7,3917.3,12390.9,117014.4,0.5,44.0,2.6
frmcl,mtr_night,autumn,400,7,2016-08-17,2022-10-24,2931.3,5663.5,12357.0,146100.3,0.5,44.0,2.6
frmom,mtr_night,spring,373,8,2017-02-15,2026-05-30,2599.5,5360.4,13425.9,218920.7,0.6,43.6,-0.6
frmom,mtr_night,autumn,493,7,2016-08-15,2025-10-09,5229.0,9006.2,22427.1,150291.3,0.4,43.6,-0.6
frmtc,mtr_night,spring,281,4,2017-02-22,2020-05-17,834.4,1913.4,4885.3,202346.6,0.7,47.4,7.0
frmtc,mtr_night,autumn,341,5,2016-08-17,2020-11-24,1620.2,3353.5,12129.9,83833.6,0.6,47.4,7.0
frnan,mtr_night,spring,400,5,2017-02-15,2021-05-31,1951.6,5192.2,13911.7,227276.6,0.6,48.7,6.6
frnan,mtr_night,autumn,579,8,2016-08-15,2025-10-03,2197.9,4473.4,12496.6,110474.1,0.5,48.7,6.6
frnim,mtr_night,spring,350,5,2017-03-03,2021-05-20,728.6,7035.8,118083.6,1611079.2,0.8,43.8,4.5
frnim,mtr_night,autumn,573,7,2016-08-16,2022-10-24,6376.8,42468.2,221086.5,1260138.2,0.6,43.8,4.5
frniz,mtr_night,spring,395,6,2017-02-15,2025-04-30,638.7,1449.9,4329.6,149910.2,0.7,46.1,4.4
frniz,mtr_night,autumn,486,8,2016-08-15,2024-09-23,1256.9,2801.4,8074.5,86706.7,0.6,46.1,4.4
fropo,mtr_night,spring,139,4,2017-03-01,2020-05-29,243.9,7483.7,139452.6,549497.3,0.7,42.9,2.9
fropo,mtr_night,autumn,226,5,2016-08-17,2020-11-11,1880.5,41491.1,123556.0,362965.3,0.5,42.9,2.9
frpla,mtr_night,spring,379,6,2017-02-15,2023-05-03,165.5,477.5,1664.8,8530.7,0.5,48.5,-4.4
frpla,mtr_night,autumn,533,7,2016-08-15,2022-10-18,478.7,950.2,2481.1,16866.2,0.5,48.5,-4.4
frtou,mtr_night,spring,355,4,2017-02-15,2020-05-31,1523.2,3048.4,7796.3,61765.8,0.5,43.6,1.4
frtou,mtr_night,autumn,454,6,2016-08-15,2022-09-16,3199.5,5820.5,15471.6,174018.0,0.5,43.6,1.4
frtra,mtr_night,spring,408,5,2017-02-15,2021-05-28,890.5,2431.8,8033.6,51337.4,0.6,48.8,2.0
