city,season,doy_bin,doy_centre,nights,pred_mean,p_alert_mean,pred_q90,alert_q90,pred_q75,alert_q75,pred_q50,alert_q50
Salamanca,spring,14,145,169,1.4795,0.0956,1.6731,0.1928,1.6164,0.1232,1.5139,0.0802
Salamanca,spring,15,155,109,1.4763,0.1026,1.6529,0.2040,1.5977,0.1287,1.5139,0.0894
Salamanca,autumn,22,225,117,1.7155,0.1166,1.8630,0.1989,1.7829,0.1494,1.7249,0.1116
Salamanca,autumn,23,235,167,1.6921,0.1189,1.8530,0.2139,1.7742,0.1525,1.7101,0.1083
Salamanca,autumn,24,245,217,1.6935,0.1285,1.8704,0.2499,1.7937,0.1637,1.7109,0.1116
Salamanca,autumn,25,255,226,1.6709,0.1229,1.8698,0.2355,1.7854,0.1519,1.6898,0.1020
Salamanca,autumn,26,265,216,1.6595,0.1297,1.8657,0.2495,1.7810,0.1668,1.6889,0.1056
Salamanca,autumn,27,275,215,1.6169,0.1208,1.8526,0.2326,1.7792,0.1603,1.6686,0.0958
Salamanca,autumn,28,285,215,1.5394,0.0952,1.7951,0.1827,1.7279,0.1342,1.5632,0.0801
Salamanca,autumn,29,295,215,1.4455,0.0749,1.7680,0.1666,1.6523,0.1043,1.4101,0.0539
Salamanca,autumn,30,305,215,1.2999,0.0558,1.6705,0.1480,1.4572,0.0702,1.2869,0.0325
Salamanca,autumn,31,315,206,1.1677,0.0389,1.4658,0.0861,1.3341,0.0533,1.1884,0.0204
Salamanca,autumn,32,325,156,1.0972,0.0289,1.3757,0.0617,1.2400,0.0312,1.1256,0.0165
Salamanca,autumn,33,335,106,0.9999,0.0201,1.2424,0.0358,1.1548,0.0201,0.9521,0.0134
Santander,spring,3,35,66,1.1774,0.0515,1.3423,0.1032,1.2149,0.0597,1.1522,0.0375
Santander,spring,4,45,126,1.2029,0.0539,1.4006,0.1053,1.2417,0.0646,1.1696,0.0386
Santander,spring,5,55,186,1.2440,0.0748,1.4545,0.1609,1.3380,0.0986,1.2187,0.0510
Santander,spring,6,65,246,1.2684,0.0813,1.4743,0.1711,1.3724,0.1050,1.2440,0.0624
Santander,spring,7,75,258,1.3065,0.0927,1.5284,0.1930,1.3993,0.1160,1.2954,0.0712
Santander,spring,8,85,258,1.3236,0.0997,1.5133,0.1998,1.4071,0.1310,1.3290,0.0827
Santander,spring,9,95,258,1.3257,0.1012,1.5299,0.1998,1.4202,0.1344,1.3331,0.0820
Santander,spring,10,105,258,1.3131,0.0951,1.5160,0.1927,1.4180,0.1293,1.3054,0.0751
Santander,spring,11,115,258,1.3139,0.0979,1.5081,0.2040,1.4183,0.1371,1.3124,0.0740
Santander,spring,12,125,258,1.2981,0.0970,1.5008,0.2127,1.4170,0.1367,1.2776,0.0643
Santander,spring,13,135,229,1.3093,0.1070,1.5069,0.2509,1.4214,0.1480,1.2930,0.0719
Santander,spring,14,145,169,1.3059,0.1078,1.4961,0.2613,1.4214,0.1485,1.2887,0.0643
Santander,spring,15,155,109,1.3087,0.1152,1.5169,0.2993,1.4214,0.1746,1.2906,0.0623
Santander,autumn,22,225,117,1.3389,0.1081,1.4445,0.1782,1.3992,0.1302,1.3398,0.0970
Santander,autumn,23,235,167,1.3299,0.1088,1.4417,0.1821,1.3956,0.1332,1.3344,0.0981
Santander,autumn,24,245,217,1.3267,0.1091,1.4490,0.1883,1.3911,0.1354,1.3259,0.0985
Santander,autumn,25,255,226,1.3166,0.1087,1.4482,0.2124,1.3842,0.1353,1.3113,0.0909
Santander,autumn,26,265,216,1.3114,0.1074,1.4398,0.2116,1.3731,0.1353,1.3113,0.0915
Santander,autumn,27,275,215,1.3050,0.1050,1.4339,0.2018,1.3723,0.1349,1.3067,0.0894
Santander,autumn,28,285,215,1.3035,0.1023,1.4225,0.1866,1.3637,0.1263,1.2977,0.0863
Santander,autumn,29,295,215,1.2887,0.0954,1.4171,0.1604,1.3555,0.1225,1.2852,0.0785
Santander,autumn,30,305,215,1.2623,0.0850,1.4068,0.1487,1.3423,0.1051,1.2709,0.0638
Santander,autumn,31,315,206,1.2344,0.0766,1.3934,0.1457,1.3073,0.0933,1.2384,0.0563
Santander,autumn,32,325,156,1.2134,0.0716,1.3953,0.1381,1.2902,0.0798,1.1954,0.0484
Santander,autumn,33,335,106,1.1828,0.0600,1.3595,0.1197,1.2527,0.0660,1.1644,0.0405
Sevilla,spring,3,35,66,0.9636,0.0252,1.0954,0.0455,1.0096,0.0310,0.9531,0.0204
Sevilla,spring,4,45,126,1.0090,0.0336,1.1340,0.0692,1.0817,0.0422,1.0094,0.0277
Sevilla,spring,5,55,186,1.0485,0.0535,1.1621,0.1199,1.1180,0.0701,1.0526,0.0363
Sevilla,spring,6,65,246,1.0707,0.0594,1.2117,0.1326,1.1390,0.0792,1.0766,0.0414
Sevilla,spring,7,75,258,1.1172,0.0758,1.2524,0.1561,1.1796,0.1115,1.1164,0.0571
Sevilla,spring,8,85,258,1.1483,0.0890,1.2716,0.1714,1.2163,0.1236,1.1439,0.0748
Sevilla,spring,9,95,258,1.1670,0.0955,1.2796,0.1813,1.2265,0.1271,1.1683,0.0843
Sevilla,spring,10,105,258,1.1735,0.0926,1.2761,0.1831,1.2306,0.1216,1.1776,0.0751
Sevilla,spring,11,115,258,1.1812,0.0909,1.2759,0.1766,1.2338,0.1181,1.1832,0.0720
Sevilla,spring,12,125,258,1.1918,0.0892,1.2932,0.1648,1.2391,0.1185,1.1886,0.0715
Sevilla,spring,13,135,229,1.1960,0.0872,1.2821,0.1545,1.2417,0.1152,1.1922,0.0718
Sevilla,spring,14,145,169,1.2037,0.0856,1.2926,0.1469,1.2446,0.1145,1.2011,0.0723
Sevilla,spring,15,155,109,1.2128,0.0894,1.3043,0.1536,1.2528,0.1237,1.2090,0.0751
Sevilla,autumn,22,225,117,1.2473,0.0851,1.4691,0.1857,1.3371,0.1173,1.2006,0.0644
Sevilla,autumn,23,235,167,1.2456,0.0923,1.4528,0.1956,1.3333,0.1322,1.2088,0.0664
Sevilla,autumn,24,245,217,1.2500,0.1042,1.4462,0.2222,1.3454,0.1503,1.2315,0.0817
Sevilla,autumn,25,255,226,1.2511,0.1153,1.4217,0.2273,1.3420,0.1732,1.2431,0.0917
Sevilla,autumn,26,265,216,1.2642,0.1360,1.4178,0.2579,1.3534,0.1939,1.2825,0.1264
Sevilla,autumn,27,275,215,1.2565,0.1379,1.4058,0.2594,1.3475,0.1939,1.2838,0.1287
Sevilla,autumn,28,285,215,1.2271,0.1194,1.3844,0.2283,1.3245,0.1666,1.2489,0.1050
Sevilla,autumn,29,295,215,1.1836,0.0992,1.3480,0.2068,1.2955,0.1422,1.1801,0.0770
Sevilla,autumn,30,305,215,1.1065,0.0714,1.3104,0.1622,1.2153,0.0970,1.1065,0.0464
Sevilla,autumn,31,315,206,1.0380,0.0528,1.2348,0.1048,1.1467,0.0595,1.0515,0.0353
Sevilla,autumn,32,325,156,0.9985,0.0427,1.1812,0.0834,1.1056,0.0477,1.0045,0.0314
Sevilla,autumn,33,335,106,0.9392,0.0313,1.1053,0.0550,1.0218,0.0393,0.9641,0.0257
Toulouse,spring,3,35,66,0.8564,0.0403,1.0466,0.0779,0.9474,0.0425,0.8459,0.0229
Toulouse,spring,4,45,126,0.8590,0.0374,1.0377,0.0684,0.9428,0.0440,0.8465,0.0249
Toulouse,spring,5,55,186,0.9085,0.0622,1.1010,0.1354,1.0239,0.0734,0.9123,0.0375
Toulouse,spring,6,65,246,0.9295,0.0729,1.1178,0.1553,1.0376,0.0940,0.9312,0.0454
Toulouse,spring,7,75,258,0.9636,0.0836,1.1244,0.1669,1.0634,0.1098,0.9672,0.0566
Toulouse,spring,8,85,258,0.9900,0.0917,1.1290,0.1712,1.0731,0.1192,1.0069,0.0695
Toulouse,spring,9,95,258,1.0083,0.0944,1.1633,0.1967,1.0925,0.1215,1.0188,0.0754
Toulouse,spring,10,105,258,1.0233,0.0933,1.1771,0.1966,1.1119,0.1192,1.0253,0.0750
Toulouse,spring,11,115,258,1.0369,0.1003,1.1908,0.2087,1.1239,0.1281,1.0437,0.0783
Toulouse,spring,12,125,258,1.0497,0.1022,1.1988,0.2183,1.1423,0.1335,1.0514,0.0751
Toulouse,spring,13,135,229,1.0724,0.1148,1.2074,0.2359,1.1535,0.1525,1.0799,0.0819
Toulouse,spring,14,145,169,1.0725,0.1171,1.2119,0.2583,1.1552,0.1562,1.0725,0.0792
Toulouse,spring,15,155,109,1.0729,0.1168,1.2153,0.2682,1.1577,0.1525,1.0936,0.0792
