city,season,doy_bin,doy_centre,nights,pred_mean,p_alert_mean,pred_q90,alert_q90,pred_q75,alert_q75,pred_q50,alert_q50
Alicante,spring,3,35,66,1.0486,0.0274,1.1675,0.0512,1.1228,0.0360,1.0553,0.0254
Alicante,spring,4,45,126,1.1020,0.0382,1.2552,0.0841,1.1856,0.0507,1.1021,0.0298
Alicante,spring,5,55,186,1.1549,0.0696,1.3322,0.1718,1.2475,0.0942,1.1590,0.0420
Alicante,spring,6,65,246,1.1757,0.0762,1.3433,0.1738,1.2709,0.1064,1.1821,0.0509
Alicante,spring,7,75,258,1.2226,0.0913,1.3714,0.1829,1.3041,0.1270,1.2268,0.0763
Alicante,spring,8,85,258,1.2471,0.1019,1.3799,0.1996,1.3106,0.1373,1.2466,0.0872
Alicante,spring,9,95,258,1.2533,0.1038,1.3821,0.2059,1.3261,0.1386,1.2577,0.0894
Alicante,spring,10,105,258,1.2564,0.0979,1.3757,0.1974,1.3290,0.1324,1.2645,0.0798
Alicante,spring,11,115,258,1.2662,0.0979,1.3812,0.2029,1.3264,0.1318,1.2725,0.0790
Alicante,spring,12,125,258,1.2707,0.0932,1.3877,0.1907,1.3355,0.1256,1.2787,0.0730
Alicante,spring,13,135,229,1.2743,0.0895,1.3897,0.1856,1.3359,0.1224,1.2824,0.0693
Alicante,spring,14,145,169,1.2732,0.0823,1.3916,0.1559,1.3353,0.1110,1.2787,0.0630
Alicante,spring,15,155,109,1.2698,0.0799,1.3986,0.1617,1.3452,0.1058,1.2779,0.0617
Alicante,autumn,22,225,117,1.2250,0.0583,1.3675,0.1202,1.2686,0.0624,1.2164,0.0440
Alicante,autumn,23,235,167,1.2174,0.0608,1.3489,0.1202,1.2639,0.0704,1.2047,0.0454
Alicante,autumn,24,245,217,1.2350,0.0715,1.3848,0.1551,1.2895,0.0858,1.2203,0.0501
Alicante,autumn,25,255,226,1.2485,0.0805,1.4114,0.1695,1.3016,0.1052,1.2276,0.0578
Alicante,autumn,26,265,216,1.2787,0.0986,1.4446,0.2011,1.3542,0.1289,1.2657,0.0768
Alicante,autumn,27,275,215,1.2976,0.1099,1.4480,0.2075,1.3782,0.1521,1.2979,0.0865
Alicante,autumn,28,285,215,1.3048,0.1166,1.4480,0.2285,1.3782,0.1621,1.2979,0.0928
Alicante,autumn,29,295,215,1.2925,0.1173,1.4401,0.2388,1.3758,0.1586,1.2939,0.0928
Alicante,autumn,30,305,215,1.2409,0.1036,1.4211,0.2219,1.3496,0.1420,1.2377,0.0779
Alicante,autumn,31,315,206,1.1795,0.0858,1.3784,0.1796,1.2914,0.1087,1.1822,0.0630
Alicante,autumn,32,325,156,1.1376,0.0739,1.3456,0.1557,1.2298,0.0951,1.1252,0.0485
Alicante,autumn,33,335,106,1.0716,0.0479,1.2150,0.0964,1.1385,0.0644,1.0705,0.0418
Almería,spring,3,35,66,1.2532,0.0355,1.3507,0.0671,1.2950,0.0467,1.2432,0.0284
Almería,spring,4,45,126,1.2667,0.0481,1.3865,0.1033,1.3091,0.0655,1.2559,0.0385
Almería,spring,5,55,186,1.2962,0.0761,1.4290,0.1606,1.3588,0.1066,1.2773,0.0595
Almería,spring,6,65,246,1.3100,0.0802,1.4373,0.1626,1.3789,0.1079,1.2964,0.0623
Almería,spring,7,75,258,1.3379,0.0934,1.4618,0.1749,1.4066,0.1259,1.3386,0.0792
Almería,spring,8,85,258,1.3596,0.1018,1.4734,0.1901,1.4239,0.1371,1.3601,0.0893
Almería,spring,9,95,258,1.3678,0.1001,1.4838,0.1848,1.4294,0.1352,1.3675,0.0858
Almería,spring,10,105,258,1.3691,0.0937,1.4831,0.1746,1.4300,0.1251,1.3710,0.0772
Almería,spring,11,115,258,1.3702,0.0934,1.4926,0.1792,1.4302,0.1229,1.3688,0.0767
Almería,spring,12,125,258,1.3731,0.0910,1.5018,0.1829,1.4367,0.1182,1.3593,0.0706
Almería,spring,13,135,229,1.3694,0.0836,1.5052,0.1678,1.4292,0.1101,1.3525,0.0645
Almería,spring,14,145,169,1.3671,0.0795,1.4984,0.1648,1.4265,0.1006,1.3473,0.0629
Almería,spring,15,155,109,1.3727,0.0786,1.5029,0.1640,1.4201,0.1048,1.3484,0.0629
Almería,autumn,22,225,117,1.3157,0.0633,1.4631,0.1179,1.3799,0.0686,1.3021,0.0393
Almería,autumn,23,235,167,1.3069,0.0650,1.4575,0.1286,1.3661,0.0751,1.2927,0.0464
Almería,autumn,24,245,217,1.3264,0.0758,1.4848,0.1639,1.3831,0.0950,1.3054,0.0504
Almería,autumn,25,255,226,1.3433,0.0884,1.5196,0.1968,1.4193,0.1092,1.3168,0.0592
Almería,autumn,26,265,216,1.3674,0.1038,1.5408,0.2348,1.4484,0.1414,1.3479,0.0781
Almería,autumn,27,275,215,1.3888,0.1135,1.5467,0.2438,1.4655,0.1512,1.3835,0.0950
Almería,autumn,28,285,215,1.3964,0.1229,1.5410,0.2535,1.4670,0.1655,1.3992,0.0979
Almería,autumn,29,295,215,1.3807,0.1178,1.5153,0.2477,1.4495,0.1595,1.3853,0.0971
Almería,autumn,30,305,215,1.3491,0.0986,1.4853,0.2198,1.4228,0.1314,1.3408,0.0726
Almería,autumn,31,315,206,1.3128,0.0833,1.4574,0.1945,1.3907,0.1050,1.3100,0.0542
Almería,autumn,32,325,156,1.2871,0.0670,1.4238,0.1318,1.3662,0.0880,1.2785,0.0471
Almería,autumn,33,335,106,1.2555,0.0438,1.3715,0.0867,1.3180,0.0583,1.2583,0.0354
Barcelona,spring,3,35,66,1.4150,0.0326,1.6347,0.0601,1.5253,0.0405,1.4117,0.0255
Barcelona,spring,4,45,126,1.4613,0.0407,1.6547,0.0805,1.5663,0.0537,1.4694,0.0299
Barcelona,spring,5,55,186,1.5305,0.0813,1.7659,0.1912,1.6554,0.1190,1.5278,0.0489
Barcelona,spring,6,65,246,1.5660,0.0926,1.8048,0.2063,1.7133,0.1413,1.5666,0.0625
Barcelona,spring,7,75,258,1.6328,0.1123,1.8554,0.2171,1.7579,0.1530,1.6373,0.0932
Barcelona,spring,8,85,258,1.6772,0.1305,1.8786,0.2316,1.8010,0.1718,1.6839,0.1195
Barcelona,spring,9,95,258,1.6997,0.1318,1.8926,0.2339,1.8170,0.1734,1.7141,0.1195
Barcelona,spring,10,105,258,1.7055,0.1228,1.8825,0.2311,1.8163,0.1542,1.7193,0.1062
Barcelona,spring,11,115,258,1.7194,0.1211,1.8805,0.2373,1.8226,0.1539,1.7375,0.0989
Barcelona,spring,12,125,258,1.7088,0.1124,1.8550,0.2320,1.8012,0.1424,1.7259,0.0877
Barcelona,spring,13,135,229,1.7010,0.1082,1.8383,0.2217,1.7920,0.1366,1.7230,0.0821
Barcelona,spring,14,145,169,1.6892,0.1009,1.8214,0.2058,1.7827,0.1315,1.7124,0.0759
Barcelona,spring,15,155,109,1.6721,0.1055,1.7991,0.2235,1.7606,0.1372,1.6892,0.0751
Barcelona,autumn,22,225,117,1.6646,0.0555,1.8354,0.0966,1.7636,0.0688,1.6596,0.0461
Barcelona,autumn,23,235,167,1.6709,0.0632,1.8388,0.1123,1.7752,0.0801,1.6684,0.0529
Barcelona,autumn,24,245,217,1.6816,0.0699,1.8715,0.1291,1.7866,0.0885,1.6748,0.0558
Barcelona,autumn,25,255,226,1.7074,0.0781,1.9076,0.1509,1.8170,0.0991,1.7127,0.0614
Barcelona,autumn,26,265,216,1.7450,0.1012,1.9590,0.1929,1.8695,0.1369,1.7538,0.0802
Barcelona,autumn,27,275,215,1.7592,0.1139,1.9699,0.2224,1.8963,0.1459,1.7782,0.0880
Barcelona,autumn,28,285,215,1.7628,0.1222,1.9789,0.2265,1.9024,0.1578,1.7876,0.0915
Barcelona,autumn,29,295,215,1.7354,0.1138,1.9710,0.2304,1.8765,0.1479,1.7490,0.0807
Barcelona,autumn,30,305,215,1.6362,0.0942,1.9417,0.2145,1.7996,0.1222,1.6358,0.0569
Barcelona,autumn,31,315,206,1.5415,0.0714,1.8662,0.1721,1.7059,0.0805,1.5162,0.0433
Barcelona,autumn,32,325,156,1.4712,0.0529,1.7518,0.1075,1.6045,0.0575,1.4297,0.0366
Barcelona,autumn,33,335,106,1.3785,0.0375,1.5872,0.0671,1.4658,0.0436,1.3881,0.0301
Bilbao,spring,3,35,66,1.1905,0.0460,1.4363,0.0859,1.2732,0.0536,1.1521,0.0331
Bilbao,spring,4,45,126,1.2320,0.0517,1.4794,0.1028,1.3038,0.0656,1.2058,0.0388
Bilbao,spring,5,55,186,1.2888,0.0744,1.5651,0.1722,1.3980,0.0913,1.2645,0.0533
Bilbao,spring,6,65,246,1.3174,0.0801,1.5731,0.1786,1.4410,0.1005,1.2966,0.0587
Bilbao,spring,7,75,258,1.3629,0.0909,1.6236,0.1962,1.5015,0.1129,1.3385,0.0675
Bilbao,spring,8,85,258,1.3829,0.0969,1.6259,0.1991,1.5114,0.1251,1.3774,0.0764
Bilbao,spring,9,95,258,1.3929,0.1005,1.6358,0.1991,1.5300,0.1325,1.3870,0.0773
Bilbao,spring,10,105,258,1.3797,0.0978,1.6345,0.2117,1.5243,0.1293,1.3714,0.0730
Bilbao,spring,11,115,258,1.3845,0.0998,1.6265,0.2153,1.5277,0.1332,1.3795,0.0720
Bilbao,spring,12,125,258,1.3767,0.1044,1.6345,0.2437,1.5145,0.1440,1.3523,0.0688
Bilbao,spring,13,135,229,1.3878,0.1126,1.6334,0.2451,1.5182,0.1572,1.3727,0.0753
Bilbao,spring,14,145,169,1.3798,0.1120,1.6247,0.2601,1.5146,0.1628,1.3655,0.0656
Bilbao,spring,15,155,109,1.3830,0.1218,1.6398,0.3018,1.5100,0.1791,1.3655,0.0773
Bilbao,autumn,22,225,117,1.4434,0.1089,1.5606,0.1848,1.4955,0.1346,1.4425,0.0954
Bilbao,autumn,23,235,167,1.4289,0.1055,1.5580,0.1831,1.4913,0.1294,1.4333,0.0934
Bilbao,autumn,24,245,217,1.4311,0.1075,1.5606,0.1893,1.4955,0.1290,1.4346,0.0930
Bilbao,autumn,25,255,226,1.4211,0.1068,1.5585,0.1962,1.4934,0.1286,1.4242,0.0885
Bilbao,autumn,26,265,216,1.4233,0.1067,1.5623,0.1909,1.5104,0.1295,1.4242,0.0884
Bilbao,autumn,27,275,215,1.4166,0.1042,1.5911,0.1936,1.5143,0.1290,1.4164,0.0881
Bilbao,autumn,28,285,215,1.3952,0.0984,1.5576,0.1883,1.4909,0.1240,1.3865,0.0799
Bilbao,autumn,29,295,215,1.3684,0.0949,1.5576,0.1948,1.4823,0.1212,1.3583,0.0712
Bilbao,autumn,30,305,215,1.3034,0.0822,1.5078,0.1678,1.4101,0.1072,1.2965,0.0552
Bilbao,autumn,31,315,206,1.2490,0.0744,1.4521,0.1495,1.3519,0.0903,1.2473,0.0462
Bilbao,autumn,32,325,156,1.2124,0.0696,1.4107,0.1364,1.3126,0.0750,1.2135,0.0411
Bilbao,autumn,33,335,106,1.1611,0.0589,1.3495,0.1175,1.2460,0.0545,1.1602,0.0361
Bordeaux,spring,3,35,66,0.8083,0.0509,1.1324,0.1327,0.8730,0.0481,0.7694,0.0209
Bordeaux,spring,4,45,126,0.8007,0.0488,1.0731,0.1123,0.8489,0.0459,0.7633,0.0234
Bordeaux,spring,5,55,186,0.8574,0.0721,1.1080,0.1780,0.9554,0.0819,0.8196,0.0352
Bordeaux,spring,6,65,246,0.8795,0.0765,1.1114,0.1781,0.9861,0.0910,0.8651,0.0406
Bordeaux,spring,7,75,258,0.9112,0.0863,1.1258,0.1895,1.0259,0.0992,0.8929,0.0519
Bordeaux,spring,8,85,258,0.9506,0.0925,1.1238,0.1860,1.0326,0.1137,0.9428,0.0606
Bordeaux,spring,9,95,258,0.9574,0.0881,1.1253,0.1699,1.0391,0.1124,0.9624,0.0628
Bordeaux,spring,10,105,258,0.9714,0.0900,1.1484,0.1811,1.0614,0.1141,0.9803,0.0609
Bordeaux,spring,11,115,258,0.9898,0.0959,1.1650,0.2162,1.0790,0.1325,0.9922,0.0647
Bordeaux,spring,12,125,258,0.9919,0.1001,1.1782,0.2473,1.1002,0.1393,0.9903,0.0575
Bordeaux,spring,13,135,229,1.0128,0.1153,1.2030,0.3010,1.1178,0.1598,0.9999,0.0679
Bordeaux,spring,14,145,169,1.0080,0.1190,1.2173,0.3056,1.1126,0.1751,0.9980,0.0614
Bordeaux,spring,15,155,109,1.0027,0.1221,1.2080,0.3315,1.0916,0.1644,0.9917,0.0546
Bordeaux,autumn,22,225,117,0.9792,0.0770,1.0665,0.1392,1.0108,0.0918,0.9785,0.0657
Bordeaux,autumn,23,235,167,0.9828,0.0814,1.0696,0.1507,1.0220,0.0991,0.9832,0.0666
Bordeaux,autumn,24,245,217,0.9792,0.0799,1.0696,0.1507,1.0223,0.0977,0.9812,0.0657
Bordeaux,autumn,25,255,226,0.9729,0.0799,1.0737,0.1560,1.0221,0.0982,0.9717,0.0624
Bordeaux,autumn,26,265,216,0.9642,0.0829,1.0699,0.1724,1.0170,0.1030,0.9585,0.0620
Bordeaux,autumn,27,275,215,0.9670,0.0879,1.0959,0.1694,1.0229,0.1033,0.9556,0.0645
Bordeaux,autumn,28,285,215,0.9608,0.0945,1.1060,0.1862,1.0178,0.1041,0.9415,0.0602
Bordeaux,autumn,29,295,215,0.9381,0.0957,1.1206,0.1978,1.0059,0.1019,0.9132,0.0546
Bordeaux,autumn,30,305,215,0.9117,0.0926,1.1584,0.2226,1.0045,0.0914,0.8912,0.0426
Bordeaux,autumn,31,315,206,0.8709,0.0874,1.1757,0.2296,0.9901,0.0732,0.8167,0.0257
Bordeaux,autumn,32,325,156,0.8415,0.0785,1.1887,0.2218,0.9607,0.0596,0.7851,0.0197
Bordeaux,autumn,33,335,106,0.7951,0.0628,1.1637,0.2203,0.9066,0.0387,0.7196,0.0166
Coimbra,spring,3,35,66,1.4487,0.0305,1.6646,0.0651,1.5494,0.0436,1.4797,0.0212
Coimbra,spring,4,45,126,1.4693,0.0342,1.6604,0.0720,1.5800,0.0464,1.4986,0.0241
Coimbra,spring,5,55,186,1.5327,0.0504,1.7682,0.1092,1.6647,0.0638,1.5388,0.0325
Coimbra,spring,6,65,246,1.5868,0.0615,1.8391,0.1402,1.7217,0.0735,1.5830,0.0389
Coimbra,spring,7,75,258,1.6613,0.0756,1.9410,0.1674,1.7766,0.0876,1.6550,0.0490
Coimbra,spring,8,85,258,1.7152,0.0851,1.9645,0.1855,1.8368,0.1076,1.7007,0.0560
Coimbra,spring,9,95,258,1.7597,0.0966,2.0330,0.2337,1.8905,0.1262,1.7470,0.0618
Coimbra,spring,10,105,258,1.7513,0.0959,2.0392,0.2304,1.8889,0.1123,1.7291,0.0598
Coimbra,spring,11,115,258,1.7441,0.0956,1.9882,0.2134,1.8860,0.1125,1.7242,0.0637
Coimbra,spring,12,125,258,1.7474,0.1077,1.9815,0.2220,1.8824,0.1373,1.7401,0.0733
Coimbra,spring,13,135,229,1.7507,0.1205,1.9636,0.2445,1.8737,0.1601,1.7454,0.0797
Coimbra,spring,14,145,169,1.7506,0.1212,1.9527,0.2419,1.8623,0.1683,1.7542,0.0893
Coimbra,spring,15,155,109,1.7634,0.1442,1.9540,0.2534,1.8815,0.1938,1.7835,0.1306
Coimbra,autumn,22,225,117,2.0199,0.1611,2.2077,0.2717,2.1210,0.2074,2.0311,0.1493
Coimbra,autumn,23,235,167,1.9899,0.1461,2.2091,0.2648,2.1135,0.1950,2.0155,0.1273
Coimbra,autumn,24,245,217,2.0054,0.1576,2.2495,0.2860,2.1299,0.2089,2.0195,0.1378
Coimbra,autumn,25,255,226,1.9938,0.1483,2.2630,0.2769,2.1441,0.1878,2.0174,0.1204
Coimbra,autumn,26,265,216,1.9961,0.1461,2.2773,0.2785,2.1610,0.1914,2.0156,0.1245
Coimbra,autumn,27,275,215,1.9661,0.1397,2.2733,0.2763,2.1425,0.1862,1.9824,0.1043
Coimbra,autumn,28,285,215,1.8920,0.1130,2.2097,0.2225,2.0863,0.1525,1.8721,0.0865
Coimbra,autumn,29,295,215,1.8085,0.0895,2.1317,0.1860,1.9640,0.1166,1.7592,0.0690
Coimbra,autumn,30,305,215,1.6914,0.0689,1.9905,0.1504,1.8038,0.0864,1.6576,0.0457
Coimbra,autumn,31,315,206,1.5793,0.0530,1.8773,0.1127,1.6965,0.0698,1.5953,0.0379
Coimbra,autumn,32,325,156,1.5207,0.0450,1.7621,0.1005,1.6485,0.0471,1.5493,0.0298
Coimbra,autumn,33,335,106,1.4451,0.0318,1.6740,0.0587,1.5883,0.0380,1.4799,0.0249
Cáceres,spring,3,35,66,1.0925,0.0205,1.2416,0.0440,1.1642,0.0229,1.1080,0.0167
Cáceres,spring,4,45,126,1.1357,0.0261,1.2800,0.0516,1.2112,0.0351,1.1502,0.0201
Cáceres,spring,5,55,186,1.1872,0.0469,1.3455,0.1104,1.2783,0.0567,1.1932,0.0260
Cáceres,spring,6,65,246,1.2223,0.0556,1.4040,0.1223,1.3170,0.0701,1.2223,0.0353
Cáceres,spring,7,75,258,1.2759,0.0677,1.4429,0.1447,1.3677,0.0877,1.2797,0.0461
Cáceres,spring,8,85,258,1.3119,0.0795,1.4650,0.1659,1.4070,0.1085,1.3154,0.0654
Cáceres,spring,9,95,258,1.3390,0.0875,1.4844,0.1735,1.4310,0.1163,1.3451,0.0722
Cáceres,spring,10,105,258,1.3433,0.0831,1.4883,0.1653,1.4384,0.1109,1.3488,0.0680
Cáceres,spring,11,115,258,1.3551,0.0858,1.4883,0.1629,1.4452,0.1153,1.3663,0.0696
Cáceres,spring,12,125,258,1.3676,0.0956,1.4949,0.1877,1.4510,0.1317,1.3817,0.0778
Cáceres,spring,13,135,229,1.3737,0.0997,1.4920,0.1914,1.4454,0.1371,1.3886,0.0810
Cáceres,spring,14,145,169,1.3770,0.1034,1.4777,0.1918,1.4444,0.1414,1.3991,0.0922
Cáceres,spring,15,155,109,1.3834,0.1158,1.4886,0.1988,1.4444,0.1505,1.4017,0.1060
Cáceres,autumn,22,225,117,1.4771,0.1286,1.6240,0.2807,1.5561,0.1755,1.4582,0.0934
Cáceres,autumn,23,235,167,1.4639,0.1296,1.6330,0.2835,1.5618,0.1816,1.4475,0.0870
Cáceres,autumn,24,245,217,1.4678,0.1386,1.6523,0.3093,1.5750,0.1876,1.4604,0.0947
Cáceres,autumn,25,255,226,1.4565,0.1278,1.6525,0.2759,1.5683,0.1691,1.4493,0.0923
Cáceres,autumn,26,265,216,1.4495,0.1306,1.6514,0.2813,1.5666,0.1693,1.4661,0.0999
Cáceres,autumn,27,275,215,1.4230,0.1233,1.6422,0.2750,1.5509,0.1605,1.4459,0.0947
Cáceres,autumn,28,285,215,1.3677,0.0941,1.5750,0.2026,1.4918,0.1183,1.3838,0.0706
Cáceres,autumn,29,295,215,1.3032,0.0738,1.5198,0.1590,1.4325,0.1017,1.2962,0.0483
Cáceres,autumn,30,305,215,1.2112,0.0545,1.4612,0.1100,1.3248,0.0594,1.1933,0.0323
Cáceres,autumn,31,315,206,1.1271,0.0402,1.3458,0.0853,1.2526,0.0389,1.1164,0.0224
Cáceres,autumn,32,325,156,1.0797,0.0300,1.2965,0.0489,1.1872,0.0320,1.0777,0.0183
Cáceres,autumn,33,335,106,1.0074,0.0214,1.1747,0.0329,1.0969,0.0230,1.0219,0.0160
Córdoba,spring,3,35,66,1.0914,0.0260,1.2168,0.0452,1.1734,0.0384,1.0929,0.0195
Córdoba,spring,4,45,126,1.1627,0.0381,1.3111,0.0763,1.2410,0.0470,1.1756,0.0293
Córdoba,spring,5,55,186,1.2166,0.0619,1.3773,0.1396,1.3028,0.0880,1.2255,0.0428
Córdoba,spring,6,65,246,1.2451,0.0688,1.3973,0.1472,1.3395,0.0938,1.2636,0.0513
Córdoba,spring,7,75,258,1.3051,0.0852,1.4403,0.1667,1.3784,0.1199,1.3068,0.0700
Córdoba,spring,8,85,258,1.3387,0.0958,1.4480,0.1834,1.3954,0.1274,1.3404,0.0841
Córdoba,spring,9,95,258,1.3571,0.1024,1.4604,0.1838,1.4109,0.1364,1.3610,0.0951
Córdoba,spring,10,105,258,1.3663,0.0989,1.4657,0.1768,1.4141,0.1288,1.3736,0.0865
Córdoba,spring,11,115,258,1.3784,0.0986,1.4677,0.1742,1.4292,0.1281,1.3831,0.0892
Córdoba,spring,12,125,258,1.3911,0.0967,1.4774,0.1629,1.4388,0.1231,1.3949,0.0841
Córdoba,spring,13,135,229,1.3987,0.0910,1.4969,0.1543,1.4447,0.1142,1.3994,0.0790
Córdoba,spring,14,145,169,1.4078,0.0870,1.5108,0.1422,1.4495,0.1103,1.4088,0.0765
Córdoba,spring,15,155,109,1.4177,0.0896,1.5274,0.1455,1.4617,0.1164,1.4140,0.0792
Córdoba,autumn,22,225,117,1.4359,0.0727,1.6196,0.1497,1.5044,0.0911,1.4087,0.0551
Córdoba,autumn,23,235,167,1.4206,0.0802,1.6068,0.1735,1.4869,0.1004,1.3966,0.0551
Córdoba,autumn,24,245,217,1.4276,0.0898,1.6024,0.1957,1.4995,0.1094,1.4124,0.0615
Córdoba,autumn,25,255,226,1.4202,0.0980,1.5726,0.2173,1.5043,0.1363,1.4115,0.0666
Córdoba,autumn,26,265,216,1.4263,0.1143,1.5670,0.2375,1.5229,0.1611,1.4216,0.0819
Córdoba,autumn,27,275,215,1.4193,0.1155,1.5672,0.2308,1.5241,0.1584,1.4233,0.0926
Córdoba,autumn,28,285,215,1.3866,0.1051,1.5486,0.2142,1.4840,0.1457,1.3932,0.0827
Córdoba,autumn,29,295,215,1.3375,0.0940,1.5295,0.2025,1.4332,0.1375,1.3380,0.0723
Córdoba,autumn,30,305,215,1.2528,0.0712,1.4479,0.1488,1.3650,0.0889,1.2600,0.0483
Córdoba,autumn,31,315,206,1.1736,0.0575,1.3849,0.1356,1.2877,0.0713,1.1819,0.0389
Córdoba,autumn,32,325,156,1.1258,0.0475,1.3198,0.0906,1.2410,0.0559,1.1318,0.0331
Córdoba,autumn,33,335,106,1.0557,0.0319,1.2021,0.0539,1.1494,0.0382,1.0889,0.0259
Faro,spring,3,35,66,1.2719,0.0272,1.3469,0.0555,1.3130,0.0342,1.2719,0.0195
Faro,spring,4,45,126,1.2669,0.0313,1.3470,0.0595,1.3060,0.0408,1.2664,0.0256
Faro,spring,5,55,186,1.2878,0.0503,1.3708,0.1146,1.3335,0.0572,1.2821,0.0331
Faro,spring,6,65,246,1.2962,0.0554,1.3766,0.1261,1.3406,0.0703,1.2950,0.0353
Faro,spring,7,75,258,1.3097,0.0697,1.4034,0.1544,1.3586,0.0952,1.3089,0.0491
Faro,spring,8,85,258,1.3312,0.0861,1.4158,0.1807,1.3756,0.1199,1.3329,0.0653
Faro,spring,9,95,258,1.3402,0.0941,1.4224,0.1865,1.3831,0.1335,1.3405,0.0749
Faro,spring,10,105,258,1.3447,0.0943,1.4242,0.1860,1.3842,0.1285,1.3450,0.0731
Faro,spring,11,115,258,1.3529,0.0981,1.4352,0.1860,1.3898,0.1308,1.3516,0.0780
Faro,spring,12,125,258,1.3606,0.1082,1.4539,0.1966,1.4031,0.1351,1.3567,0.0826
Faro,spring,13,135,229,1.3647,0.1138,1.4473,0.2340,1.4073,0.1377,1.3596,0.0903
Faro,spring,14,145,169,1.3717,0.1231,1.4605,0.2416,1.4169,0.1529,1.3697,0.0956
Faro,spring,15,155,109,1.3730,0.1381,1.4794,0.2810,1.4176,0.1772,1.3726,0.1026
Faro,autumn,22,225,117,1.3650,0.1029,1.4732,0.1951,1.4154,0.1352,1.3592,0.0808
Faro,autumn,23,235,167,1.3588,0.1138,1.4732,0.2399,1.4138,0.1560,1.3590,0.0880
Faro,autumn,24,245,217,1.3717,0.1246,1.5000,0.2634,1.4321,0.1717,1.3645,0.0971
Faro,autumn,25,255,226,1.3823,0.1402,1.5096,0.2926,1.4486,0.1929,1.3758,0.1116
Faro,autumn,26,265,216,1.3882,0.1542,1.5301,0.2985,1.4601,0.2268,1.3926,0.1391
Faro,autumn,27,275,215,1.3804,0.1466,1.5249,0.2956,1.4607,0.1994,1.3916,0.1256
Faro,autumn,28,285,215,1.3579,0.1234,1.4982,0.2449,1.4413,0.1668,1.3628,0.1013
Faro,autumn,29,295,215,1.3338,0.0978,1.4695,0.2155,1.4038,0.1412,1.3401,0.0771
Faro,autumn,30,305,215,1.3172,0.0714,1.4484,0.1518,1.3889,0.0899,1.3153,0.0481
Faro,autumn,31,315,206,1.3075,0.0556,1.4278,0.1288,1.3656,0.0684,1.3020,0.0335
Faro,autumn,32,325,156,1.3041,0.0466,1.4076,0.0949,1.3617,0.0568,1.2994,0.0302
Faro,autumn,33,335,106,1.3012,0.0340,1.4076,0.0706,1.3570,0.0387,1.2936,0.0232
Gijón,spring,3,35,66,0.9389,0.0474,1.1655,0.0971,0.9898,0.0568,0.8926,0.0235
Gijón,spring,4,45,126,0.9747,0.0499,1.1685,0.0998,1.0653,0.0603,0.9579,0.0317
Gijón,spring,5,55,186,1.0128,0.0678,1.1927,0.1441,1.1055,0.0880,0.9991,0.0454
Gijón,spring,6,65,246,1.0277,0.0731,1.1969,0.1587,1.1056,0.0934,1.0287,0.0528
Gijón,spring,7,75,258,1.0600,0.0810,1.2013,0.1618,1.1193,0.1026,1.0561,0.0621
Gijón,spring,8,85,258,1.0693,0.0888,1.2004,0.1747,1.1204,0.1150,1.0658,0.0743
Gijón,spring,9,95,258,1.0658,0.0937,1.1850,0.1758,1.1204,0.1186,1.0664,0.0780
Gijón,spring,10,105,258,1.0683,0.0948,1.1841,0.1928,1.1219,0.1186,1.0701,0.0748
Gijón,spring,11,115,258,1.0699,0.0998,1.1928,0.2214,1.1198,0.1261,1.0667,0.0742
Gijón,spring,12,125,258,1.0652,0.1000,1.1850,0.2254,1.1194,0.1296,1.0595,0.0660
Gijón,spring,13,135,229,1.0731,0.1098,1.1882,0.2582,1.1298,0.1511,1.0605,0.0697
Gijón,spring,14,145,169,1.0683,0.1076,1.1882,0.2674,1.1193,0.1507,1.0555,0.0632
Gijón,spring,15,155,109,1.0697,0.1149,1.1900,0.2803,1.1510,0.1596,1.0555,0.0722
Gijón,autumn,22,225,117,1.0924,0.1004,1.1717,0.1895,1.1309,0.1295,1.0860,0.0818
Gijón,autumn,23,235,167,1.0905,0.1020,1.1674,0.1915,1.1266,0.1354,1.0879,0.0820
Gijón,autumn,24,245,217,1.0925,0.1040,1.1718,0.1880,1.1309,0.1373,1.0886,0.0899
Gijón,autumn,25,255,226,1.0776,0.0998,1.1719,0.1865,1.1283,0.1345,1.0804,0.0837
Gijón,autumn,26,265,216,1.0608,0.0993,1.1623,0.1765,1.1117,0.1345,1.0593,0.0850
Gijón,autumn,27,275,215,1.0557,0.0934,1.1626,0.1706,1.1132,0.1246,1.0552,0.0799
Gijón,autumn,28,285,215,1.0551,0.0905,1.1626,0.1697,1.1129,0.1143,1.0444,0.0722
Gijón,autumn,29,295,215,1.0480,0.0855,1.1640,0.1697,1.1097,0.1085,1.0414,0.0642
Gijón,autumn,30,305,215,1.0450,0.0764,1.1838,0.1587,1.1149,0.0970,1.0510,0.0525
Gijón,autumn,31,315,206,1.0277,0.0696,1.1875,0.1479,1.1121,0.0893,1.0274,0.0393
Gijón,autumn,32,325,156,1.0069,0.0638,1.1782,0.1373,1.0962,0.0690,1.0021,0.0320
Gijón,autumn,33,335,106,0.9821,0.0532,1.1782,0.1040,1.0664,0.0510,0.9846,0.0295
Granada,spring,3,35,66,1.1220,0.0237,1.2577,0.0473,1.2105,0.0286,1.1254,0.0145
Granada,spring,4,45,126,1.1666,0.0326,1.2931,0.0662,1.2416,0.0425,1.1695,0.0221
Granada,spring,5,55,186,1.2164,0.0590,1.3813,0.1404,1.3004,0.0806,1.2265,0.0373
